lemma	reconstructed_semitic_forms
aabim	ᵓhb
aabsm[ ]	ᶜbdᵓšmn
aba	
abaddier	
abaddir	ᵓb ᵓdr ; ᵓbn ; ᵓdr ; ᵓbn
abaddires	
abaddiri	
abaddiris	
abaeus	ᵓb ; ᶜbd
abaic[ ]	
abascanti	
abascantio	
abassi	
abbae	
abbal	ᵓb ; bᶜl ; ᵓb ; ᵓabī ; ᶜbdbᶜl
abbaluth	ᶜbdbᶜlt ; ᶜbd
abbonia	ᵓb
abbonius	
abbosa	
abdacus	ᶜbd ; ᶜbd
abdae	ᶜbd
abdalonymus	ᶜbdᵓlnm
abdas	ᶜbd ; --ᵓ
abdasi	
abdatis	
abdazi	ᶜbd ; ᶜz
abde	ᶜbdy ; ᶜbdᵓ
abdera	
abdeu	ᶜbd
abdi	
abdilia	ᶜbd ; ᵓl ; ᶜbd
abdilim	ᶜbd ; ᵓlm
abdilius	
abdira	
abdismunis	ᶜbd ; ᵓšmn
abdouesem[	ᶜbd
abdus	ᶜbd
abdusmun	
abdusmyn	
abeddonis	ᶜbd
abedeunis	šlm lh ; ᶜbd
abenius	ᵓbn
abennius	
aberius	
aberria	
aberrinius	
abi	ᵓb
abidir	
abigeus	
abigineus	
abihius	ᵓb
abillahas	
abinnaeus	ᵓb
abinneianus	ᵓb
abius	ᵓb
abnaccan	
abon	
abonis	
abori	
abuda	
abullia	
abullius	
aburrianus	
aburrius	
abus	
abusor	ᶜbdkšr
abzea	
abzeius	
acasam	
acasan	
acasanis	
accurasan	
acelus	ᶜglᵓ
acerbas	
acherbae	
acherbam	
acherbas	
achir	
achul	
acidonis	
acileia	
acimariu	
aconia	
acreni	
acum	
adaer	
adan	ᵓdn
adarb	
adarbal	
adarbalis	
adduar	
addunis	ᵓdn
adeca	
ader	ᵓdr
aderbalo	
adherbal	
adherbal	ᵓdrbᶜl ; ᵓaddīr ; ᵓdr
adherbale	
adherbalem	
adherbali	
adherbalis	
adluir	
admicaris	ḥmlqrt ; ḥnmlqrt ; ᶜbdmlqrt ; ḥnmlqrt
adnibali	ᵓ dnbᶜl ; ḥnbᶜl
adnlinis	ᵓdn ; ᵓlm ; ᵓdn
adombal	ᵓdnbᶜl
adomynim	
adonis	ᵓdn
ador	
aduddae	
aechanna	
aenoni	
afun	
agbor	ᵓgbr
agbori[	
agdibil	
agi	
aiburhu	
aithaae	ytᶜw
akzucia	
alacanza	
alantas	
altifatan	ᶜwṭ
altilimas	
altisan	
altiserae	
alurusa	
alurusae	
amaonius	
amastra	
amicar	
amicaris	
amicoru	
amillus	
ammicar	
ammicari	
ammicaris	
ammon	
ammon	
ammoni	
ammoni	
ammoni	
ammonis	ḥmn
ammonii	
ammonius	
amo[	
amobbali	ᵓmtbᶜl
amolim	ᵓamat ; ᶜabd ; ᵓelim ; ᵓlm
amonis	
amotbal	ᵓmtbᶜl
amotmicar	ᵓmtmlqrt
amphiani	
amubal	
ancharius	
ancum	
anesti	
anibas	
anikua	
anina	--ḥnn
aninus	
annbal	
annibal	
annibalem	
annibalis	
anniboni	
anniboni	
annibonia	
annibonius	ḥnbᶜl
anniculo	
annio	
annius	ḥnn
anno	
annobal	
annobalis	ḥnbᶜl
annonis	mtn bn ḥnᵓ
annonius	
anob[	
anobal	
anobalis	
anonis	
anonius	
anpamilla	
antala	
antalae	
antalan	
antalas	
antalas	
antifan	
anzatal	
aor	
apama	
apiusius	
apoi	
aracan	
arbai	
arbuscula	
arest	ᵓršt
ari[	
aridis	
arifridos	
aril	
arilu	
arinem	
arini	
arinis	ᵓrš
arionis	
aris	ᵓrš
arisi	
arisia	
arisim	
arisio	
arissani	
arist	
aristo	
aristoinis	
aristonis	
arisu	
arisus	
arisut	
arisuth	
arnasi	
arrisut	
arsima	
arson	
aruedera	
arzen	
asabar	
asan	
asdrubal	
asdrubale	
asdrubali	
asm[  ]nis	ᵓšmn
asmun	ᵓšmn
asmunis	
asmunius	
aspar	h-šr
aspare	
asparem	
asprenatis	
assan	
astinami	stnᶜmt
astulae	
asurih	
asuris	
athonis	
aubsar	ᶜbd
aucfiarzo	
auchusoris	ᶜbdkšr
audasso	
audif	
audilimanis	
aufulenius	
aulis	
aulisuae	
aumasgari	ᶜbd
aumatunus	
aumura	
auni	
aunis	
aunna	
auolim	
aurasi	
ausio	
ausnufae	
auspur	
autiliten	
autiseran	
autufadin	
aylima(s)	
aymnus	
azdrubal	
azrubal	
azrubalis	
azzrubalis	
baalsamen	bᶜl šmym ; bᶜlšmᶜ ; bᶜl
babbalis	
babbe	
babuis	
bacaci	
baeregbal	
baga	
bailthoni	
baisillecis	
bal	
balcilecis	
baldir	
balena	
balenis	
baliahaton	
baliaho	
baliahon	bᶜlyḥn
baliahonis	
baliahons	
baliao	
baliaonis	
baliasonis	
baliatho	
baliathon	
baliathonis	
baliato	
baliaton	bᶜlytn
baliatonis	
balibal	
balibalis	
baliddiri	bᶜlᵓdr
baliddiris	
balienis	bᶜlyḥn
baline	
balis[	
balithon	
balithonis	
baliton	
balliathonis	
ballienis	
balo[	bᶜl
balonis	
balsamem	
balsami	
balsamia	
balsamiorum	
balsamius	bᶜlšmʕ
balsamo	bᶜlšmᶜ
balsamonis	
balsilece	
balsilechis	
balsileci	
balsille	
balsillec	bᶜlšlk
balsillecis	
balsilus	
balyne	
baniura	
banno	bᶜlḥnᵓ ; bᶜlḥnᵓ
bannonis	
banocilo	bᶜlḥnᵓ
bar	
baracei	
barachianus	
baracho	
barachonis	
barag	
barahi	
barasix	
barbgali	
barcusa	
barecbalis	
barecbals	
barecis	
bargbal	
bargbalis	
bargeus	
bargyddeni	
barhic	
bari	
bari[	
baria	
baribal	
baribalis	
baribgal	
baribgalis	
baribgelis	
baric	
baric[	
barical	
baricas	
baricbal	brkbᶜl
baricbalis	
baricca	
bariccio	
barice	
baricem	
barich	
baricha	
barichal	
barichio	
barichionis	
barichis	
barici	
barici	
barici[	
baricio	
bariciolus	
baricione	
baricioni	
baricionis	
baricis	
baricissus	
baricus	
barig	
barigal	
barigbal	
barigbal[is]	
barigbali	
barigbali	
barigbalis	
barigbalus	
barih	
bariha	
barihhas	
barihis	
barin[	
bariobali	
bariricis	
barisal	
bark	
barlahae	brᵓlhᵓ
barsilla	bᶜlšlk
barsippa	
baruci	
baryci	
basa	
bathylli	
bathyllus	btᵓl
bato	
batza	
baugilus	
baza	
becar	
beccut	bgᶜt
belbaraci	
beli	
bellen	
belo	
belum	
belus	bᶜl
berebgal	
berec	
berecbal	
berecbal	
berechi	
berecht	
bereci	
berect	
berecte	
berecth	
berecthe	
berectina	
